index,name,category,canonical_name,alias_of,platform,winget_id,winget_id_verified,resolution_status,package_resolution_safe,detection_strategy,expected_scope,installer_type,uninstall_strategy,uninstall_support,system_component,physical_test_required,unresolved_reason
0,Google Chrome,BÖNGÉSZŐK,Google Chrome,,windows,Google.Chrome,true,hardcoded_id_verified,true,exact-package-id -> exact-display-alias -> strict-registry-alias,dynamic,unknown,RuntimeDetect,conditional,false,true,
1,Mozilla Firefox,BÖNGÉSZŐK,Mozilla Firefox,,windows,Mozilla.Firefox,true,hardcoded_id_verified,true,exact-package-id -> exact-display-alias -> strict-registry-alias,dynamic,unknown,RuntimeDetect,conditional,false,true,
2,Microsoft Edge,BÖNGÉSZŐK,Microsoft Edge,,windows,Microsoft.Edge,true,hardcoded_id_verified,true,exact-package-id -> exact-display-alias -> strict-registry-alias,dynamic,unknown,SystemComponentUnsupported,unsupported,true,true,
3,Brave,BÖNGÉSZŐK,Brave,,windows,Brave.Brave,true,hardcoded_id_verified,true,exact-package-id -> exact-display-alias -> strict-registry-alias,dynamic,unknown,RuntimeDetect,conditional,false,true,
4,Opera,BÖNGÉSZŐK,Opera,,windows,Opera.Opera,true,hardcoded_id_verified,true,exact-package-id -> exact-display-alias -> strict-registry-alias,dynamic,unknown,RuntimeDetect,conditional,false,true,
5,Vivaldi,BÖNGÉSZŐK,Vivaldi,,windows,Vivaldi.Vivaldi,true,hardcoded_id_verified,true,exact-package-id -> exact-display-alias -> strict-registry-alias,dynamic,unknown,RuntimeDetect,conditional,false,true,
6,Zoom,KOMMUNIKÁCIÓ,Zoom,,windows,Zoom.Zoom,true,hardcoded_id_verified,true,exact-package-id -> exact-display-alias -> strict-registry-alias,dynamic,unknown,RuntimeDetect,conditional,false,true,
7,Discord,KOMMUNIKÁCIÓ,Discord,,windows,Discord.Discord,true,hardcoded_id_verified,true,exact-package-id -> exact-display-alias -> strict-registry-alias,dynamic,unknown,RuntimeDetect,conditional,false,true,
8,Microsoft Teams,KOMMUNIKÁCIÓ,Microsoft Teams,,windows,Microsoft.Teams,true,hardcoded_id_verified,true,exact-package-id -> exact-display-alias -> strict-registry-alias,dynamic,unknown,RuntimeDetect,conditional,false,true,
9,Pidgin,KOMMUNIKÁCIÓ,Pidgin,,windows,,false,exact_name_verified,true,exact-package-id -> exact-display-alias -> strict-registry-alias,dynamic,unknown,RuntimeDetect,conditional,false,true,
