index,name,category,catalog_app_id,coverage_status,root_cause,physical_result,evidence
0,Google Chrome,BÖNGÉSZŐK,catalog-entry-sha256:2c36348a274dce2a3a0355c2d2e5924a6b09c59e9530f796fc7064684eeb6255,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
1,Mozilla Firefox,BÖNGÉSZŐK,catalog-entry-sha256:6f3759c061cefb8cb32e330f0adf933e2b6ed1b6b57f5ec268f480381b7cb099,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
2,Microsoft Edge,BÖNGÉSZŐK,catalog-entry-sha256:51f2f1883124e45129fdb2e857f6d927aa7b59ad5216a7e435b0e7e12c48110f,SYSTEM_COMPONENT,SystemComponent,,catalog profile explicitly marks a Windows-managed system component
3,Brave,BÖNGÉSZŐK,catalog-entry-sha256:d3e0df61157d774819acd3fa3fccad6e12754d876e68b822da83ac4e0dbe0a4a,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
4,Opera,BÖNGÉSZŐK,catalog-entry-sha256:f61c1154eeb797bdc9d05a65d4fb4ae25ee628fa59fe3222034b986319548fe0,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
5,Vivaldi,BÖNGÉSZŐK,catalog-entry-sha256:0684166c87424f0ba44bc31edd1c790e5b9f1fa27e3379cd8c00fef2614f42a9,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
6,Zoom,KOMMUNIKÁCIÓ,catalog-entry-sha256:7b7d9af4d77767d5b4f6c0e5e2dc5c800f192609328457d37b4d8b1df3706710,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
7,Discord,KOMMUNIKÁCIÓ,catalog-entry-sha256:332c6d38670ee7ff4d64470d2f90e62bdf25e1985d967123cbb4a646a4adf6b8,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
8,Microsoft Teams,KOMMUNIKÁCIÓ,catalog-entry-sha256:5eaee6c969329d517384b86626509657a8e3f04508f3713daba946c502d74478,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
9,Pidgin,KOMMUNIKÁCIÓ,catalog-entry-sha256:0552d9647763e1ff4523713be266e2eca439436ebfa74511a71db620cbdfaede,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
10,Mozilla Thunderbird,KOMMUNIKÁCIÓ,catalog-entry-sha256:3925a28f06bb037787cb7a2192c2d7f6be812c17272364ae6aa37d21d97bfb50,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
11,Trillian,KOMMUNIKÁCIÓ,catalog-entry-sha256:81273540a7a5162e6791d8d7f15492de93dacdfb4ac74589d67922d42b23e8c0,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
12,Telegram Desktop,KOMMUNIKÁCIÓ,catalog-entry-sha256:8c27b2bfa556bb2c6fe9136100422555dbdc94d985f833e878dd7b2bd70dee27,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
13,iTunes,MÉDIA / ZENE / VIDEÓ,catalog-entry-sha256:d6255caf454cb1c191a55bed1f4e15c26933b7b2b617b394d225d783a5464bb0,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
14,VLC Media Player,MÉDIA / ZENE / VIDEÓ,catalog-entry-sha256:63eef115bd90ec3bcb9b3eeda61439683aec27bbeb72849f2d5668ddde336792,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
15,AIMP,MÉDIA / ZENE / VIDEÓ,catalog-entry-sha256:728ec7719e5b8cc9fea7daa2243f2c4e573207d64d7452ccab3ad5009f43deaf,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
16,foobar2000,MÉDIA / ZENE / VIDEÓ,catalog-entry-sha256:89d95b32d1ca35a6f8f12c61c62652b20b2309bd32c0635d77195dc2a22372b6,LICENSE_BLOCKED,LicensePolicyBlocked,,license policy blocks physical execution: class=unknown source=
